"FIPS","tract","county","add","rural","appalachia","Owner Occupied","Renter Occupied","pct.occ","z.occ","30% or More of Income on Rent","Under 30% of Income on Rent","pct.rent","z.rent","No Vehicle Available","Vehicle Available","pct.car","z.car","Not Overcrowded","Overcrowded","pct.crowd","z.crowd","ind.ht","9th Grade or Higher","Less than 9th Grade","pct.edu","z.edu","Limited English","Not Limited English","pct.eng","z.eng","Not Single Parent Household","Single Parent Household","pct.sing","z.sing","POP2010","LAPOP05_10","PovertyRate","LILATracts_halfAnd10","LILATracts_Vehicle","pct.food","z.food","ind.econ","estimate","z.inc","At or Above Poverty Level","Below Poverty Level","pct.pov","z.pov","Employed","Unemployed","pct.unemp","z.unemp","Insured","Uninsured","pct.unins","z.unins","ind.sn","index","index2"
21035010301,"Census Tract 103.01","Calloway County","Purchase",1,0,59,104,0.638036809815951,1.60823338661839,70,12,0.853658536585366,2.60868026235356,21,142,0.128834355828221,0.658775335824412,163,0,0,-0.99504495707627,0.970161006930023,209,11,0.05,-0.215425890811125,0,163,0,-0.47303134062037,156,7,0.0429447852760736,-1.65106918793497,3140,2649.538479,55.6,1,0,0.843802063375796,1.2180232749185,-0.28037578611199,18021,1.4293110040638,132,197,0.598784194528875,3.29548030043233,1831,55,0.0291622481442206,-0.650882670640561,3398,19,0.00556043312847527,-1.36107628109528,0.678208088190071,0.455997769669368,1.93188069851239
21035010302,"Census Tract 103.02","Calloway County","Purchase",1,0,845,2474,0.745405242542935,2.1675291144793,1261,749,0.627363184079602,1.19819804463331,149,3170,0.0448930400723109,-0.441948290887395,3311,8,0.00241036456764086,-0.878015259070295,0.511440902288729,3445,289,0.0773968934118907,0.359054996094336,237,3082,0.0714070503163604,2.32122021604098,2874,445,0.134076529075023,-0.504314627381054,6572,0,40.4,0,1,0,-0.944134555068114,0.307956507421538,20881,1.30762806079071,3541,3125,0.468796879687969,2.24727996483289,3371,173,0.0488148984198646,-0.274426296570835,6296,504,0.0741176470588235,0.371427748134589,0.91297736929684,0.577458259669036,2.05334118851206
21035010400,"Census Tract 104","Calloway County","Purchase",1,0,323,623,0.658562367864693,1.71515361109269,320,258,0.55363321799308,0.7386446118004,150,796,0.158562367864693,1.04859916606875,938,8,0.00845665961945032,-0.584451333733952,0.729486513806972,1510,49,0.0314304041051956,-0.604808648875701,31,915,0.03276955602537,0.809284376515651,648,298,0.315010570824524,1.77246543724102,2300,1900.599482,29.8,1,0,0.826347600869565,1.17329797213236,0.787559784253332,29167,0.955087897168077,1440,905,0.38592750533049,1.57903240453257,955,70,0.0682926829268293,0.0986804359847641,1970,375,0.159914712153518,2.53959871732935,1.29309986375369,0.936715387271332,2.41259831611436
21035010500,"Census Tract 105","Calloway County","Purchase",1,0,852,721,0.458359821996186,0.672273261932183,238,433,0.354694485842027,-0.501325811841972,69,1504,0.0438652256834075,-0.45542603508943,1486,87,0.0553083280356008,1.69032347810487,0.351461223276412,2357,77,0.0316351684470008,-0.600514979556398,0,1573,0,-0.47303134062037,1342,231,0.146853146853147,-0.343540301172153,3132,0,25.5,0,0,0,-0.944134555068114,-0.590305294104259,41031,0.450316415003103,2950,453,0.133117837202468,-0.459590974209484,1670,35,0.0205278592375367,-0.816278721276361,3164,279,0.0810339819924484,0.546209911134713,-0.0698358423370073,-0.102893304388285,1.37298962445474
21035010600,"Census Tract 106","Calloway County","Purchase",1,0,2048,933,0.312982220731298,-0.0850170258088162,402,413,0.493251533742331,0.362290033729645,134,2847,0.0449513586044951,-0.441183559173671,2939,42,0.0140892318014089,-0.310974769109272,-0.118721330090529,5233,136,0.025330601601788,-0.732714389845035,24,2957,0.0080509896008051,-0.157985555574691,2728,253,0.0848708487084871,-1.12349336810579,6735,5559.758562,13.1,0,0,0.825502384855234,1.17113219119541,-0.210765280582527,54347,-0.116232561438974,6388,1052,0.141397849462366,-0.392822061872044,3359,96,0.0277858176555716,-0.677248887087101,7201,264,0.03536503683858,-0.607886455297853,-0.448547491423993,-0.259344700699016,1.21653822814401
21035010700,"Census Tract 107","Calloway County","Purchase",1,0,1071,161,0.130681818181818,-1.03464284918756,71,80,0.470198675496689,0.218603270996521,50,1182,0.0405844155844156,-0.498447342990013,1224,8,0.00649350649350649,-0.679767710581276,-0.498563657940583,2143,77,0.0346846846846847,-0.536570182366477,5,1227,0.00405844155844156,-0.314219198233132,1145,87,0.0706168831168831,-1.30285787235814,3277,46.50206795,11.5,0,0,0.0141904388007324,-0.907772984392167,-0.765355059337479,53214,-0.0680273954500227,2772,362,0.115507338864071,-0.60159967937409,1493,62,0.0398713826366559,-0.44574382758876,3136,37,0.0116608887488182,-1.2069121408617,-0.580570760818643,-0.614829826032235,0.86105310281079
21035010800,"Census Tract 108","Calloway County","Purchase",1,0,1226,193,0.136011275546159,-1.00688103260901,45,124,0.266272189349112,-1.05245545490465,27,1392,0.0190274841437632,-0.781123681125231,1419,0,0,-0.99504495707627,-0.95887628142879,2262,174,0.0714285714285714,0.2339062482138,0,1419,0,-0.47303134062037,1232,187,0.131782945736434,-0.53317588959216,3458,790.435312,13,0,0,0.228581640254482,-0.358417116442579,-0.282679524610327,48125,0.148491659905469,2686,546,0.168935643564356,-0.170760970336277,1476,92,0.0586734693877551,-0.0855804244860568,3057,234,0.0711030082041933,0.295245043749517,0.0468488272081632,-0.398235659610318,1.07764726923271
21037050100,"Census Tract 501","Campbell County","Northern Kentucky",0,0,77,663,0.895945945945946,2.95171465341303,313,321,0.493690851735016,0.365028270329489,305,435,0.412162162162162,4.37405675270212,740,0,0,-0.99504495707627,1.67393867984209,820,72,0.0807174887892377,0.428684006535516,1,739,0.00135135135135135,-0.420151189425484,526,214,0.289189189189189,1.44754257374957,1733,1733.00002,41.4,1,1,1.00000001154068,1.61826479044812,0.768585045326931,20068,1.34221835200785,619,858,0.580907244414353,3.1513229637532,558,103,0.155824508320726,1.77539645857277,1416,69,0.0464646464646465,-0.327389082409044,1.48538717298119,1.30930363271674,2.78518656155976
21037050400,"Census Tract 504","Campbell County","Northern Kentucky",0,0,663,282,0.298412698412698,-0.160911507853529,106,157,0.403041825095057,-0.199980417270732,88,857,0.0931216931216931,0.19047469912517,939,6,0.00634920634920635,-0.686773871614498,-0.214297774403397,1729,41,0.0231638418079096,-0.778148814448743,0,945,0,-0.47303134062037,735,210,0.222222222222222,0.604865021729344,1881,1460.695002,17.7,0,0,0.776552366826156,1.04570269848224,0.099846891285617,80321,-1.22133492807359,2095,161,0.0713652482269504,-0.957555599199972,1314,19,0.0142535633908477,-0.936466005492808,2164,104,0.0458553791887125,-0.3427858284248,-0.864535590297792,-0.326328824471857,1.14955410437117
21037050500,"Census Tract 505","Campbell County","Northern Kentucky",0,0,391,466,0.543757292882147,1.11711947439478,280,155,0.64367816091954,1.29988809023274,227,630,0.26487747957993,2.44271068657142,838,19,0.0221703617269545,0.0813858751808508,1.23527603159495,1209,107,0.081306990881459,0.441045177551531,0,857,0,-0.47303134062037,588,269,0.313885647607935,1.75830998739312,2598,2597.999987,34.2,1,1,0.999999994996151,1.61826474805443,0.836147143094679,25139,1.12646513335828,945,949,0.501055966209081,2.50741292749118,728,72,0.09,0.514494983210249,1828,88,0.0459290187891441,-0.340924887800986,0.951862039064681,1.0077617379181,2.48364466676113
21037050600,"Census Tract 506","Campbell County","Northern Kentucky",0,0,258,370,0.589171974522293,1.35369028742029,200,136,0.595238095238095,0.997964738682076,179,449,0.285031847133758,2.70699518518997,544,84,0.133757961783439,5.49926469365501,2.63947872623684,1032,147,0.124681933842239,1.35056711958193,22,606,0.035031847133758,0.897810795450868,409,219,0.348726114649682,2.19672434013606,1914,1914.000003,50.8,1,1,1.0000000015674,1.6182647648926,1.51584175501536,27391,1.03065045215164,745,1137,0.604144527098831,3.33870530593098,476,27,0.0536779324055666,-0.181272441209958,1747,135,0.0717321997874601,0.311145295388607,1.12480715306532,1.76004254477251,3.23592547361553
21037051101,"Census Tract 511.01","Campbell County","Northern Kentucky",0,0,479,405,0.45814479638009,0.671153166337899,223,171,0.565989847715736,0.815662572186115,152,732,0.171945701357466,1.22409500202271,831,53,0.0599547511312217,1.91591984596914,1.15670764662896,1578,78,0.0471014492753623,-0.276205117345898,0,884,0,-0.47303134062037,653,231,0.26131221719457,1.09675322816446,2277,51.64235383,29.8,0,0,0.0226799972902942,-0.886019345525843,-0.134625643831913,40441,0.475418840363633,1657,570,0.255949708127526,0.530908817893574,1101,51,0.0442708333333333,-0.361470142668906,2115,112,0.0502918724741805,-0.230671551136147,0.103546491113038,0.37520949797003,1.85109242681305
21037051102,"Census Tract 511.02","Campbell County","Northern Kentucky",0,0,509,109,0.176375404530744,-0.796619186305362,41,68,0.376146788990826,-0.367615190808541,43,575,0.06957928802589,-0.118237182326921,606,12,0.0194174757281553,-0.0522741617320161,-0.33368643029321,1220,32,0.0255591054313099,-0.727922931168628,0,618,0,-0.47303134062037,504,114,0.184466019417476,0.129760563604833,1416,592.5991611,6.2,0,0,0.418502232415254,0.128235278993939,-0.235739607297556,73958,-0.950611652532813,1669,117,0.0655095184770437,-1.00477542135373,976,56,0.0542635658914729,-0.17005433802561,1734,52,0.0291153415453527,-0.765822019715271,-0.722815857906855,-0.430747298499207,1.04513563034382
21037051200,"Census Tract 512","Campbell County","Northern Kentucky",0,0,159,304,0.65658747300216,1.70486613430332,178,113,0.611683848797251,1.10046990591306,125,338,0.269978401727862,2.50959914877486,456,7,0.0151187904967603,-0.260986918800668,1.26348706754764,688,69,0.0911492734478203,0.647426358544972,0,463,0,-0.47303134062037,316,147,0.317494600431965,1.80372317644514,1359,1050.687704,36.7,1,0,0.773132968359088,1.03694083418928,0.753764757139755,31042,0.875313240301984,687,439,0.3898756660746,1.61086984514777,430,30,0.0652173913043478,0.0397716823475433,1070,58,0.0514184397163121,-0.202202157847,0.580938152487575,0.866063325724991,2.34194625456802
21037051300,"Census Tract 513","Campbell County","Northern Kentucky",0,0,1493,217,0.126900584795322,-1.0543397715082,42,165,0.202898550724638,-1.44745866359747,11,1699,0.0064327485380117,-0.946278622152744,1703,7,0.00409356725146199,-0.796291230923286,-1.06109207204543,3013,26,0.00855544587035209,-1.08446983151821,0,1710,0,-0.47303134062037,1512,198,0.115789473684211,-0.734429440225858,4460,4459.999991,4.2,0,0,0.999999997982063,1.61826475570553,-0.168416464164727,101518,-2.12319274225522,4329,101,0.0227990970654628,-1.34918655187063,2387,78,0.0316430020283976,-0.603362585608871,4400,30,0.00677200902934537,-1.33045864059274,-1.35155013008187,-0.860352888764007,0.615530040079018
21037051901,"Census Tract 519.01","Campbell County","Northern Kentucky",0,0,1621,78,0.0459093584461448,-1.47623329962269,38,40,0.487179487179487,0.324443415992134,53,1646,0.0311948204826368,-0.621573232555995,1699,0,0,-0.99504495707627,-0.692102018315706,3460,61,0.0173246236864527,-0.900590404990285,0,1699,0,-0.47303134062037,1540,159,0.0935844614479105,-1.01384578833513,4986,0,4,0,0,0,-0.944134555068114,-0.832900522253476,84071,-1.38088424180577,5013,282,0.053257790368272,-1.10357171952333,2496,105,0.0403690888119954,-0.436210016143868,5104,191,0.0360717658168083,-0.59002676217208,-0.877673184911261,-0.800891908493481,0.674991020349544
